2019-09-01,171
2019-09-02,151
2019-09-03,177
2019-09-04,173
2019-09-05,169
2019-09-06,156
2019-09-07,141
2019-09-08,148
2019-09-09,164
2019-09-10,155
2019-09-11,157
2019-09-12,179
2019-09-13,166
2019-09-14,167
2019-09-15,145
2019-09-16,149
2019-09-17,147
2019-09-18,153
2019-09-19,151
2019-09-20,166
2019-09-21,168
2019-09-22,158
2019-09-23,141
2019-09-24,178
2019-09-25,170
2019-09-26,154
2019-09-27,175
2019-09-28,173
2019-09-29,154
2019-09-30,146
2019-10-01,168
2019-10-02,145
2019-10-03,165
2019-10-04,154
2019-10-05,149
2019-10-06,167
2019-10-07,152
2019-10-08,166
2019-10-09,147
2019-10-10,157
2019-10-11,170
2019-10-12,145
2019-10-13,176
2019-10-14,176
2019-10-15,166
2019-10-16,146
2019-10-17,174
2019-10-18,147
2019-10-19,167
2019-10-20,167
2019-10-21,149
2019-10-22,163
2019-10-23,156
2019-10-24,154
2019-10-25,172
2019-10-26,149
2019-10-27,148
2019-10-28,180
2019-10-29,178
2019-10-30,176
2019-10-31,149
2019-11-01,149
2019-11-02,160
2019-11-03,165
2019-11-04,172
2019-11-05,148
2019-11-06,146
2019-11-07,179
2019-11-08,164
2019-11-09,166
2019-11-10,172
2019-11-11,164
2019-11-12,177
